idPessoa;matricula;cargo;departamento;dataContratacao;salarioBase;status;tipoContrato;cargaHoraria;emailCorporativo;telefoneRamal;telefoneCelularCorporativo;valeTransporte;valeAlimentação;isentoImpostos
1;VEN-1-1999;Especialista em RH;Vendas;2023-08-14;4314.07;Ativo;CLT;40;luísa.pereira@vendascorp.com;(61) 3552-4369;(61) 98552-7874;true;false;false
2;REC-2-1987;Designer UX/UI;Recursos Humanos;2023-05-29;18822.85;Ativo;Temporário;44;alícia.martins@recursoshumanoscorp.com;(61) 3552-5540;(61) 98552-9997;true;true;false
3;JUR-3-1996;Coordenador de Vendas;Jurídico;2023-03-12;19277.08;Ativo;Estágio;40;sarah.vasconcelos@jurídicocorp.com;(61) 3552-1528;(61) 98552-4399;true;true;true
4;JUR-4-1977;Designer UX/UI;Jurídico;2024-05-16;9528.96;Ativo;Temporário;44;dra..mota@jurídicocorp.com;(61) 3552-7492;(61) 98552-3794;false;false;false
5;VEN-5-1978;Gerente de Projetos;Vendas;2022-12-30;2500.36;Ativo;Estágio;30;sra..vasconcelos@vendascorp.com;(61) 3552-8272;(61) 98552-3476;false;false;true
6;OPE-6-1992;Analista Financeiro;Operações;2023-03-03;10935.22;Ativo;Estágio;44;melina.montenegro@operaçõescorp.com;(61) 3552-1354;(61) 98552-3118;true;true;false
7;FIN-7-2005;Gerente de Projetos;Financeiro;2022-11-17;10107.9;Inativo;PJ;40;vitor.gomes@financeirocorp.com;(61) 3552-4149;(61) 98552-6572;true;false;true
8;VEN-8-2018;Especialista em RH;Vendas;2024-11-09;7689.87;Ativo;Estágio;44;esther.fonseca@vendascorp.com;(61) 3552-7214;(61) 98552-6444;true;true;true
9;TI-9-2017;Designer UX/UI;TI;2023-01-09;2087.39;Ativo;Temporário;40;juan.pinto@ticorp.com;(61) 3552-8168;(61) 98552-7792;false;false;false
10;PRO-10-2008;Coordenador de Vendas;Produtos;2022-06-17;8477.75;Ativo;CLT;44;sr..rios@produtoscorp.com;(61) 3552-4493;(61) 98552-3151;false;false;true
11;JUR-11-1977;Analista de Dados;Jurídico;2025-10-04;16166.57;Ativo;Estágio;44;maria.freitas@jurídicocorp.com;(61) 3552-8868;(61) 98552-9455;true;true;true
12;PRO-12-2006;Designer UX/UI;Produtos;2023-11-08;11507.24;Inativo;Estágio;40;maria.vasconcelos@produtoscorp.com;(61) 3552-5560;(61) 98552-7736;false;true;false
13;PRO-13-1972;Coordenador de Vendas;Produtos;2025-03-02;5324.81;Inativo;CLT;44;alexia.macedo@produtoscorp.com;(61) 3552-3377;(61) 98552-2642;true;true;false
14;JUR-14-2018;Gerente de Projetos;Jurídico;2021-12-11;5910.76;Inativo;Estágio;44;cecília.ribeiro@jurídicocorp.com;(61) 3552-8109;(61) 98552-1903;true;false;true
15;OPE-15-2006;Coordenador de Vendas;Operações;2022-02-02;4241.88;Inativo;Temporário;30;isabela.silveira@operaçõescorp.com;(61) 3552-7655;(61) 98552-8527;true;true;false
16;OPE-16-2006;Analista Financeiro;Operações;2021-07-06;17832.86;Inativo;CLT;40;benicio.pastor@operaçõescorp.com;(61) 3552-6203;(61) 98552-7780;false;false;false
17;PRO-17-2007;Analista de Dados;Produtos;2024-07-23;15871.42;Ativo;Temporário;40;agatha.albuquerque@produtoscorp.com;(61) 3552-2392;(61) 98552-1240;false;false;true
18;REC-18-2022;Coordenador de Vendas;Recursos Humanos;2022-01-14;17965.46;Ativo;PJ;30;joão.costela@recursoshumanoscorp.com;(61) 3552-8462;(61) 98552-6408;false;true;true
19;MAR-19-2009;Coordenador de Vendas;Marketing;2022-03-19;7609.78;Inativo;CLT;30;erick.conceição@marketingcorp.com;(61) 3552-3343;(61) 98552-9464;true;false;true
20;JUR-20-1986;Técnico de Suporte;Jurídico;2024-01-16;17826.66;Inativo;PJ;30;rafaela.machado@jurídicocorp.com;(61) 3552-3201;(61) 98552-6071;true;false;true
21;JUR-21-1972;Coordenador de Vendas;Jurídico;2023-08-31;16650.8;Ativo;CLT;40;dr..siqueira@jurídicocorp.com;(61) 3552-3647;(61) 98552-1285;false;true;false
