id;nome;fisicaOuJuridica;cpf_cnpj;dataNascimento;emailPessoal;telefonePessoal;enderecoCompleto
1;Francisco da Luz;Física;014.873.692-04;1999-01-29;arocha@example.net;+55 61 3044 1528;"Morro Cavalcante, 88 Vila Santa Monica 2ª Seção 92399194 Rios / SC"
2;Theodoro da Paz;Física;420.635.971-70;1979-06-29;emanuel43@example.net;51 0020 7944;"Praia Machado Vila São João Batista 47334-937 Andrade do Campo / PR"
3;Valentim Vieira;Física;893.725.140-04;1963-03-22;carvalhopedro-henrique@example.net;+55 (081) 3901-7289;"Aeroporto Bruno das Neves, 33 Vila Bandeirantes 34267-880 Carvalho / RJ"
4;Breno Nunes;Física;214.756.398-64;2005-08-08;thiagogoncalves@example.org;(011) 3823 2374;"Campo de Duarte, 85 Vila Atila De Paiva 36018412 Cassiano / PE"
5;João Pedro Santos;Física;739.168.420-13;1994-08-25;joao03@example.org;31 2715-3857;"Vila Anna Liz Alves, 94 Tiradentes 96165319 Viana / AM"
6;Dr. Otávio Marques;Física;289.107.463-78;1998-06-03;barbosamaria-laura@example.org;+55 (051) 9449-1110;"Praça da Mota, 24 Rio Branco 77393165 Gomes / SE"
7;Luara Gonçalves;Física;238.675.914-82;1982-02-12;alexandre74@example.net;71 9435 3733;"Pátio Enzo Gabriel Macedo, 6 Confisco 87246-891 Alves de Brito / AL"
8;Melina Nogueira;Física;012.738.546-08;1973-03-21;das-nevesolivia@example.net;0500-259-9737;"Fazenda Sampaio, 535 Juliana 60425-505 Montenegro / SP"
9;Dom Rios;Física;840.139.726-03;1981-05-26;bianca04@example.com;21 3783-7636;"Rodovia de Barbosa, 219 Barão Homem De Melo 1ª Seção 30442452 Pacheco de Souza / BA"
10;Hadassa Brito;Física;807.536.429-56;1998-01-10;eduardomoura@example.net;(011) 4601-3559;"Travessa da Rosa, 66 Jardim Guanabara 38181538 Almeida da Mata / CE"
11;Maria Cecília Sales;Física;147.038.295-41;1977-07-23;asafe32@example.com;+55 (084) 5394 9004;"Estrada João Lucas Leão Leticia 88082-483 Almeida de Minas / SE"
12;Dr. Calebe Mendonça;Física;128.436.975-73;1960-11-18;emanuel78@example.org;(041) 0967-6288;"Distrito de Costa, 23 Vila São Francisco 15941771 Azevedo Alegre / MS"
13;Liam Câmara;Física;764.503.219-70;1979-09-17;salesmaria-eduarda@example.com;(051) 8496-2129;"Campo Sampaio Mantiqueira 26471930 Sá / SC"
14;Maria Eduarda Moreira;Física;125.064.783-53;1985-03-02;monteiroana-cecilia@example.org;+55 (071) 3667 1764;"Lagoa de Jesus, 977 Vila Independencia 2ª Seção 06134-756 Costa / PI"
15;Fernanda Caldeira;Física;917.524.380-60;1980-04-11;camposhellena@example.net;71 8956 0448;"Estrada Theodoro Dias, 2 Bonfim 91140063 Peixoto do Galho / PE"
16;Maria Alice Casa Grande;Física;246.537.018-90;1987-04-24;gael08@example.net;(071) 8566-6032;"Praia Raquel da Luz, 13 Minaslandia 56850620 Moreira / AM"
17;Thales Souza;Física;104.362.795-25;1966-10-30;alana84@example.com;(071) 3991-8691;"Via de Silveira, 11 Tres Marias 50277-456 Aragão de Câmara / ES"
18;Isaque Nunes;Física;745.213.869-46;1974-12-09;bazevedo@example.org;(031) 2444-4131;"Viela Ian Mendonça, 15 Jardim Alvorada 25073444 Barbosa dos Dourados / SP"
19;Anna Liz Rodrigues;Física;810.529.637-30;2004-09-27;marcos-viniciuspacheco@example.net;51 3734 2591;"Pátio Lorena Rios, 14 Bairro Das Indústrias Ii 45445609 Souza do Campo / MG"
20;Isadora Peixoto;Física;769.580.431-20;2003-02-11;eduarda64@example.org;+55 51 3474 7517;"Trevo Camila Campos Lagoinha Leblon 00699131 Nascimento da Praia / DF"
21;Dra. Giovanna Dias;Física;057.921.843-05;1993-05-24;borgesjoao-gabriel@example.com;+55 31 2540 9877;"Jardim de Souza Anchieta 03010-074 Camargo do Campo / TO"
22;Vitor Hugo Moreira;Física;190.254.863-98;1974-05-28;ravi39@example.com;(021) 8559 5907;"Vale de Porto, 8 Nova America 65216041 Garcia do Sul / SE"
23;Francisco Martins;Física;860.392.175-02;1963-03-14;cavalcantiigor@example.net;31 8925-4731;"Viaduto Garcia São Vicente 35808304 Pacheco / PI"
24;Milena da Luz;Física;870.413.652-71;1971-03-28;cavalcantiana-carolina@example.org;+55 (031) 4709 4273;"Conjunto Vitória Ribeiro, 50 Vila Piratininga 75003684 Fernandes / SE"
25;Ana Beatriz Ramos;Física;872.954.063-10;1999-06-27;esales@example.net;+55 (081) 8004 4791;"Avenida Emilly Martins, 72 Vale Do Jatoba 53898-047 Cavalcante / PE"
26;João Felipe Pacheco;Física;298.710.635-12;1997-08-13;pimentaliz@example.net;81 2349-6766;"Loteamento da Mota, 1 Serra 13089504 Machado Alegre / AL"
27;Ágatha Ferreira;Física;128.469.530-15;1993-12-26;moreirasofia@example.com;81 9449 6322;"Lagoa da Mata, 120 Indaiá 10855797 Moraes do Norte / RR"
28;Anthony Ribeiro;Física;682.043.579-74;1993-03-23;scavalcante@example.com;+55 51 2429 9422;"Avenida Mariana Brito, 30 Minas Caixa 82916-750 Moraes da Prata / RO"
29;Jade Carvalho;Física;356.479.102-70;1972-08-20;luizada-rocha@example.net;81 2647 1577;"Quadra de Correia, 50 Beija Flor 19182-896 Mendes do Galho / PR"
30;Brayan Rezende;Física;186.039.245-89;1966-05-28;francisco07@example.com;51 5042 4379;"Condomínio Nogueira, 68 Conjunto Califórnia Ii 85459-683 Sá / BA"
31;Antony Barros;Física;382.069.714-40;1979-02-13;andradeisaac@example.org;(071) 5952-6038;"Jardim de Borges Santa Terezinha 88499-724 Costela de Araújo / PI"
32;Evelyn Gomes;Física;745.261.830-08;1961-09-13;cda-mota@example.com;21 7089 7143;"Pátio Benjamim Gonçalves, 2 Leonina 92833-731 Barros / AP"
33;Dr. Gabriel das Neves;Física;524.890.371-88;1967-04-10;maria-sophiacastro@example.net;+55 81 0003-8712;"Setor de Oliveira Vila Pilar 41240622 Siqueira de Minas / DF"
34;Leonardo Viana;Física;327.694.501-07;1998-07-29;upires@example.org;+55 71 0244 9693;"Feira de da Conceição, 74 Vila Madre Gertrudes 4ª Seção 15662083 Leão / PB"
35;Lucas Gabriel Azevedo;Física;475.816.329-46;1976-03-30;faraujo@example.net;+55 51 8878 2429;"Estação Stella Melo, 646 São Bernardo 06284921 Nunes do Norte / RS"
36;Gustavo Nunes;Física;407.538.629-56;1972-11-27;oribeiro@example.net;(051) 8065-6856;"Morro Mendes, 25 Sion 53880574 Porto do Campo / SE"
37;Sra. Lara Moura;Física;204.768.591-58;1960-02-14;heitormacedo@example.com;+55 61 3948 6827;"Chácara da Paz Vila Copacabana 65169-935 Barbosa / RR"
38;João Pedro Farias;Física;941.382.670-69;1993-05-04;ecarvalho@example.org;(061) 4829 6747;"Lagoa de Rios, 47 Barão Homem De Melo 3ª Seção 67589952 Lima do Norte / ES"
39;Sr. Felipe Cavalcanti;Física;290.463.817-22;1989-02-27;da-mataalana@example.com;(084) 3863-6752;"Campo Lavínia Duarte, 50 Aarão Reis 30517577 Santos de Sousa / SE"
40;Heitor Melo;Física;930.415.762-52;1966-02-25;isabella35@example.net;21 4821 6767;"Vereda Joaquim Pereira, 33 Anchieta 17149-041 Melo / MA"
41;Daniela Cavalcanti;Física;950.678.142-76;1999-04-04;nsantos@example.net;41 5205 0850;"Vereda Abreu, 64 Eymard 63900-045 Siqueira / PB"
42;Samuel Pacheco;Física;714.980.562-02;2003-07-25;carlos-eduardopeixoto@example.org;+55 51 2180 6001;"Estação de Correia, 48 Flavio De Oliveira 53415695 Sampaio Grande / RS"
43;Luiza Castro;Física;608.942.571-02;1989-11-14;carvalhopedro-lucas@example.com;+55 (081) 4523 8664;"Viela Joana Casa Grande, 24 Copacabana 42964-030 Abreu / PE"
44;Dra. Ana Luiza Campos;Física;326.819.704-31;1978-05-24;noah36@example.net;+55 71 5727 9267;"Trecho Clarice Cavalcante, 9 Boa Viagem 33345229 Pinto / ES"
45;Maria Clara Rocha;Física;912.450.683-42;1979-02-03;zoemoura@example.com;+55 (071) 4174-7526;"Travessa Maria Cecília da Rocha, 29 Nova Floresta 88896223 Azevedo dos Dourados / CE"
46;Clara Pacheco;Física;874.326.905-29;1989-10-28;abreuenrico@example.org;+55 (061) 5508-0173;"Área Freitas, 498 Nova Granada 52556755 Cardoso / SC"
47;Mariana Nunes;Física;684.905.237-38;1979-09-03;ucamargo@example.org;81 2223 4854;"Esplanada Lima, 94 Beija Flor 05166-379 da Cruz / AL"
48;Henrique Ramos;Física;281.093.654-42;2004-03-09;npereira@example.com;71 7776-0309;"Distrito Igor Leão, 5 Camponesa 1ª Seção 69515066 Porto / MG"
49;Francisco Cavalcante;Física;753.124.089-05;1993-05-30;domda-luz@example.org;+55 (041) 6011 8376;"Rodovia Enzo Gabriel Montenegro, 2 Gutierrez 63978927 Pacheco / MT"
50;Otto da Mata;Física;249.538.607-56;1985-10-13;mda-mota@example.com;+55 (051) 8904 8487;"Área Guilherme da Rosa, 662 Padre Eustáquio 53357-666 Farias de Goiás / DF"
